check,description,criteria
1,design,explore system and reuse pilot experiment
2,identification,examine a key driver within the system
3,research,check the publish literature on the topic
4,plan,write hypothesis and predictions
5,data,collect your field data
6,test,test your data with plots and statistics
7,confirm,validate your findings with logic and published science
8,plot,make a single clear plot of data that summarizing key finding
9,write,write up paper
10,conclusions,explain the relevance of finding and make a clear conclusion
