check,description,criteria
1,design,"survey patterns locally, plan design"
2,identification,"look up common species, explore field guides"
3,dataset,"download, format, enter data"
4,principles,"sketch design, take field notes"
5,principles,try different designs and sampling approaches
6,meta-data,note units and specifics of your data
7,meta-data,"take notes, plan how to write methods"
8,open science,"explore figshare, check examples, set up account"
9,open science,publish data and meta-data
10,innovation,consider how to improve and what different designs can test
